text,action
빈대 퇴치제 추천해주세요,guide
천안아산역에 모기 물려서 호흡이 가빠요,emergency
방금 건대입구역에서 love bug 방역 필요해요,dispatch
어제 광화문에서 바퀴벌레 나왔어요,dispatch
오늘 love bugs 출몰했어요,dispatch
말 벌 어떻게 생겼나요?,guide
러브 버그 키우고 싶어,none
지난해엔 빈대 심했었지,none
아까 천호역에서 빈대 엄청 많네요,dispatch
인천 송도 단풍 구경했어요,none
사당역에서 love bugs 천지예요,dispatch
아까 의정부역에서 바퀴벌레 떼로 봤어요,dispatch
아까 전주 한옥마을에서 말 벌 때문에 호흡이 가빠요,emergency
러브버그 키우고 싶어,none
한강공원에 love bugs 신고할게요,dispatch
성수역 맛집 다녀왔어요,none
여의도공원에 모기 물려서 퉁퉁 부었어요,emergency
진드기 정말 사랑스러워,none
어제 춘천 명동에서 빈대 물려서 온몸이 부었어요,emergency
어제 잠실역에서 빈대 출현했습니다,dispatch
love bug에 대해 알려줘,guide
진드기 퇴치 방법 궁금해요,guide
러브 버그 퇴치 방법 알려주세요,guide
love bug 모양 키링을 샀어요,none
청주 성안길 벚꽃 폈어요,none
부산 해운대 주변에 말벌 들어왔어요,emergency
빈대 예방하는 방법 있나요?,guide
어제 창원 상남동에서 바퀴벌레 떼로 봤어요,dispatch
빈대 응원해,none
단국대 천안캠퍼스 근처에 말 벌 출현했습니다,emergency
여의도공원 근처에 말벌 쏘여서 숨쉬기 힘들어요,emergency
빈대 어떻게 예방하나요?,guide
아까 강남역에서 모기 엄청 많네요,dispatch
바퀴벌레 퇴치제 추천해주세요,guide
어제 강남역에서 말 벌 쏘여서 숨쉬기 힘들어요,emergency
예전엔 말 벌 많이 나왔었어,none
어릴 때 러브 버그 물린 적 있어,none
여의도공원에 love bugs 너무 많아요,dispatch
청주 성안길에 러브버그 떼로 봤어요,dispatch
서울숲 주변에 러브 버그 뒤덮었어요,dispatch
북서울꿈의숲 맛집 다녀왔어요,none
울산 삼산동 도착했습니다,none
대전역 주변에 러브 버그 잔뜩 있어요,dispatch
두정역에서 말 벌 집을 발견했어요,emergency
북서울꿈의숲 근처에 말벌 보여서 무서워요,emergency
방금 정자역에서 말 벌 쏘여서 숨쉬기 힘들어요,emergency
모기 캐릭터 인형을 샀어요,none
청주 성안길에서 빈대 물린 데가 심하게 부었어요,emergency
지난해엔 바퀴벌레 심했었지,none
바퀴벌레 정말 사랑스러워,none
강남역 구경 잘했어요,none
경의선숲길 주변에 love bugs 뒤덮었어요,dispatch
불당동에서 자전거 탔어요,none
뚝섬한강공원 다녀왔어요,none
러브버그라는 단어를 배웠어요,none
말벌 너무 좋아요,none
말 벌 캐릭터 좋아해,none
노원역 갔다가 말 벌 쏘여서 퉁퉁 부었어요,emergency
인천 송도 갔다가 love bugs 잔뜩 있어요,dispatch
방금 잠실역에서 말벌 보여서 무서워요,emergency
일산 호수공원에 빈대 뒤덮었어요,dispatch
아까 이태원역에서 모기 엄청 많네요,dispatch
말벌 어떻게 예방해요?,guide
빈대 언제 많이 나오나요?,guide
아까 부산 광안리에서 러브 버그 때문에 불편해요,dispatch
진드기 어떻게 없애요?,guide
아까 백석대에서 말벌 때문에 위험해요,emergency
한강공원에 러브버그 기어다녀요,dispatch
바퀴벌레 예방하는 방법 있나요?,guide
말벌 어떻게 예방하나요?,guide
부산 해운대 주변에 진드기 뒤덮었어요,dispatch
석촌호수에서 자전거 탔어요,none
정자역 근처에 말벌 쏘여서 퉁퉁 부었어요,emergency
아까 제주 노형동에서 말 벌 쏘여서 부었어요,emergency
포항 영일대 근처에 러브 버그 떼로 봤어요,dispatch
잠실역에서 love bug 신고합니다,dispatch
불당동에서 모기 천지예요,dispatch
love bug 영화 제목 같네요,none
홍대입구역에 말 벌 들어왔어요,emergency
보라매공원 주변에 모기 천지예요,dispatch
올림픽공원 주변에 빈대 물린 데가 심하게 부었어요,emergency
러브버그 무엇을 먹나요?,guide
일산 호수공원 갔다가 말 벌 쏘여서 아파요,emergency
광주 충장로에 러브 버그 나왔어요,dispatch
옛날엔 러브버그 자주 봤지,none
경의선숲길에서 러브 버그 출현했습니다,dispatch
모기 퇴치 방법 궁금해요,guide
아까 창원 상남동에서 러브버그 잔뜩 있어요,dispatch
말 벌 생기는 이유가 뭐예요?,guide
단국대 천안캠퍼스에서 자전거 탔어요,none
love bug 어떻게 없애나요?,guide
바퀴벌레 왜 생겨요?,guide
어제 대구 동성로에서 진드기 물려서 열이 나요,emergency
광주 충장로 갔다가 모기 들끓어요,dispatch
love bug 어떻게 없애요?,guide
신촌역 근처에 말벌 들어왔어요,emergency
진드기 나왔어요,dispatch
대구 동성로에서 말벌 한테 쏘였어요,emergency
모기 그림을 그렸어요,none
건대입구역 근처에 말벌 때문에 호흡이 가빠요,emergency
광교호수공원 다녀왔어요,none
어제 양재시민의숲에서 love bug 너무 많아요,dispatch
방금 노원역에서 말 벌 보여서 무서워요,emergency
부산 광안리 갔다가 모기 물린 데가 심하게 부었어요,emergency
어제 여의도공원에서 love bugs 때문에 불편해요,dispatch
제주 노형동에서 바퀴벌레 잔뜩 있어요,dispatch
지난해엔 모기 심했었지,none
나는 빈대를 사랑해,none
두정역에 말 벌 에 쏘였어요,emergency
아까 보라매공원에서 빈대 방역 필요해요,dispatch
올림픽공원에서 말벌 쏘여서 아파요,emergency
말 벌 보고 싶어,none
방금 북서울꿈의숲에서 러브 버그 나왔어요,dispatch
옛날엔 모기 자주 봤지,none
청주 성안길에서 빈대 기어다녀요,dispatch
모란역에서 커피 마셨어요,none
아까 청주 성안길에서 빈대 너무 많아요,dispatch
대구 동성로에 말벌집이 생겼어요,emergency
어제 여의도공원에서 진드기 출몰했어요,dispatch
아까 모란역에서 러브버그 방역이 필요해요,dispatch
북서울꿈의숲에서 자전거 탔어요,none
어제 포항 영일대에서 진드기 신고할게요,dispatch
올림픽공원에서 친구 만났어요,none
바퀴벌레 너무 좋아요,none
단국대 천안캠퍼스에서 점심 먹었어요,none
방금 경의선숲길에서 진드기 물린 자국이 퉁퉁 부었어요,emergency
어제 대전역에서 love bug 방역이 필요해요,dispatch
정자역에 love bug 방역이 필요해요,dispatch
말벌 정보 좀 알려주세요,guide
어제 러브버그 너무 많아요,dispatch
인천 송도 갔다가 말벌 쏘여서 아파요,emergency
제주 노형동 단풍 구경했어요,none
아까 월드컵공원에서 모기 들끓어요,dispatch
불당동 말 벌집 때문에 위험해요,emergency
러브버그 대처법 알려주세요,guide
여의도공원에서 러브버그 출몰했어요,dispatch
전주 한옥마을에 말벌 들어왔어요,emergency
말 벌 너무 좋아,none
예전엔 빈대 많이 나왔었어,none
광화문 갔다가 모기 천지예요,dispatch
백석대 근처에 러브버그 나왔어요,dispatch
러브버그 뉴스 봤는데 신기하네요,none
진드기 물리면 어떻게 하나요?,guide
오늘 동탄 근처에 러브 버그 때문에 불편해요,dispatch
모기 뉴스 봤는데 신기하네요,none
모기 영화 제목 같네요,none
광화문 갔다가 말벌 쏘여서 부었어요,emergency
러브버그 퇴치제 추천해주세요,guide
진드기 캐릭터 인형을 샀어요,none
빈대 없애는 법 알려줘,guide
건대입구역에 진드기 물린 자국이 퉁퉁 부었어요,emergency
보라매공원에 말 벌 한테 쏘였어요,emergency
바퀴벌레 정보 좀 알려주세요,guide
러브버그 캐릭터 인형을 샀어요,none
방금 건대입구역에서 말벌 쏘였어요,emergency
부산 해운대 갔다가 러브 버그 기어다녀요,dispatch
바퀴벌레 퇴치 방법 궁금해요,guide
석촌호수 주변에 진드기 물려서 심하게 부었어요,emergency
부천역에서 진드기 뒤덮었어요,dispatch
이태원역에서 쇼핑했어요,none
남산공원 갔다가 바퀴벌레 방역이 필요해요,dispatch
빈대 예방법이 궁금합니다,guide
러브버그 어떻게 쫓아내나요?,guide
love bug 다큐멘터리 봤어요,none
모기 퇴치제 추천해주세요,guide
아까 동탄에서 말 벌 에 쏘였어요,emergency
주택담보 대출 받았어요,none
동탄에서 커피 마셨어요,none
말 벌 예방하는 방법 있나요?,guide
지난해엔 러브버그 심했었지,none
아까 석촌호수에서 모기 뒤덮었어요,dispatch
창원 상남동 갔다가 진드기 물려서 열이 나요,emergency
진드기 어디서 사나요?,guide
어제 여의도공원에서 말벌 쏘여서 부었어요,emergency
바퀴벌레에 대해 알려줘,guide
청주 성안길 근처에 말 벌 에 쏘였어요,emergency
오늘 북서울꿈의숲 근처에 말 벌 쏘여서 숨쉬기 힘들어요,emergency
아까 불당동에서 빈대 출몰했어요,dispatch
대구 동성로 갔다가 말벌 쏘여서 아파요,emergency
모기 책을 읽고 있어요,none
러브버그 보고 싶어,none
어제 포항 영일대에서 말 벌 출현했습니다,emergency
제주 노형동 갔다가 모기 물려서 퉁퉁 부었어요,emergency
어제 부산 광안리에서 말 벌 한테 쏘였어요,emergency
빈대 붙지 말라는 말을 들었어요,none
말 벌 어떻게 예방하나요?,guide
안양역 갔다가 말 벌 쏘여서 아파요,emergency
러브 버그 왜 생기나요?,guide
어제 의정부역에서 진드기 때문에 불편해요,dispatch
아까 경의선숲길에서 러브버그 뒤덮었어요,dispatch
러브 버그 퇴치 방법 궁금해요,guide
어제 단국대 천안캠퍼스에서 러브버그 떼로 봤어요,dispatch
love bug 캐릭터 인형을 샀어요,none
러브버그 모양 키링을 샀어요,none
아까 성수역에서 말벌 쏘여서 아파요,emergency
아까 사당역에서 모기 방역이 필요해요,dispatch
여의도공원에서 자전거 탔어요,none
진드기 검색해보니 사진이 징그러워요,none
의정부역 다녀왔어요,none
말 벌 퇴치제 추천해주세요,guide
부산 광안리 다녀왔어요,none
의정부역 벚꽃 폈어요,none
동탄 날씨 맑아요,none
어제 양재시민의숲에서 러브 버그 보여요,dispatch
바퀴벌레 물리면 어떻게 처치하나요?,guide
울산 삼산동 사람 많네요,none
말 벌 정보 좀 알려주세요,guide
모란역 카페에서 공부 중이에요,none
전주 한옥마을에서 러브버그 신고할게요,dispatch
서울숲 주변에 러브버그 출몰했어요,dispatch
북서울꿈의숲에서 점심 먹었어요,none
아까 홍대입구역에서 러브버그 때문에 불편해요,dispatch
수원역 산책 좋네요,none
재작년에 말 벌 본 적 있어,none
말 벌 모양 키링을 샀어요,none
포항 영일대에서 모기 물려서 호흡이 가빠요,emergency
두정역 야경 예쁘네요,none
천호역 근처에 love bug 뒤덮었어요,dispatch
love bug 퇴치제 추천해주세요,guide
love bug 어떻게 생겼나요?,guide
러브버그 물리면 어떻게 하나요?,guide
러브버그 왜 생겨요?,guide
올림픽공원에 말 벌 한테 쏘였어요,emergency
서울숲 근처에 말 벌 에 쏘였어요,emergency
아까 단국대 천안캠퍼스에서 말벌 때문에 위험해요,emergency
백석대에서 말 벌 에 쏘였어요,emergency
love bug 예방하는 방법 있나요?,guide
그땐 love bug 많았는데,none
북서울꿈의숲 주변에 빈대 물려서 온몸이 부었어요,emergency
작년엔 말벌 많았는데,none
러브 버그 너무 귀여워요,none
의정부역에 빈대 물린 데가 심하게 부었어요,emergency
love bug 팬이에요,none
진드기 모양 키링을 샀어요,none
어제 춘천 명동에서 빈대 때문에 불편해요,dispatch
포항 영일대 산책 좋네요,none
러브 버그 다큐멘터리 봤어요,none
어제 광교호수공원에서 모기 잔뜩 있어요,dispatch
오늘 석촌호수 근처에 빈대 들끓어요,dispatch
모기 너무 좋아,none
어제 안양역에서 말 벌 쏘였어요,emergency
방금 모란역에서 love bug 너무 많아요,dispatch
방금 단국대 천안캠퍼스에서 진드기 신고합니다,dispatch
말벌 물리면 어떻게 하나요?,guide
방금 서울숲에서 love bugs 신고합니다,dispatch
오늘 천호역 근처에 모기 물려서 호흡이 가빠요,emergency
노원역 근처에 빈대 물려서 온몸이 부었어요,emergency
춘천 명동 갔다가 love bug 기어다녀요,dispatch
오늘 부천역 근처에 말 벌 쏘여서 퉁퉁 부었어요,emergency
아까 전주 한옥마을에서 러브 버그 너무 많아요,dispatch
모기 방제 방법 궁금해요,guide
love bug 어디서 서식하나요?,guide
부산 광안리 갔다가 말벌 보여서 무서워요,emergency
청주 성안길에서 친구 만났어요,none
러브버그에 대해 알려줘,guide
어제 올림픽공원에서 진드기 신고할게요,dispatch
아까 천호역에서 love bugs 잔뜩 있어요,dispatch
신촌역 갔다가 love bug 뒤덮었어요,dispatch
오늘 전주 한옥마을 근처에 진드기 나왔어요,dispatch
어제 광교호수공원에서 러브 버그 뒤덮었어요,dispatch
한강공원에 말벌 에 쏘였어요,emergency
아까 은평구 불광천에서 love bugs 떼로 봤어요,dispatch
아까 천안역에서 말벌 쏘였어요,emergency
아까 부천역에서 모기 신고할게요,dispatch
아까 울산 삼산동에서 모기 물린 데가 심하게 부었어요,emergency
동탄에서 진드기 출현했습니다,dispatch
광교호수공원 근처에 러브버그 방역이 필요해요,dispatch
모기 캐릭터 좋아해,none
빈대 너무 좋아요,none
어제 신촌역에서 말 벌 쏘여서 부었어요,emergency
방금 일산 호수공원에서 빈대 방역이 필요해요,dispatch
오늘 양재시민의숲 근처에 러브버그 엄청 많네요,dispatch
아까 여의도공원에서 러브버그 신고할게요,dispatch
광화문에 말벌 에 쏘였어요,emergency
말벌 에 쏘였어요,emergency
아까 의정부역에서 진드기 너무 많아요,dispatch
노원역 근처에 벌집이 있어요,emergency
말벌 어떻게 생겼나요?,guide
의정부역 주변에 바퀴벌레 떼로 봤어요,dispatch
어제 청주 성안길에서 말벌 쏘였어요,emergency
방금 잠실역에서 말 벌 쏘여서 숨쉬기 힘들어요,emergency
전주 한옥마을 근처에 말 벌 쏘여서 아파요,emergency
백석대 갔다가 진드기 기어다녀요,dispatch
방금 불당동에서 love bugs 뒤덮었어요,dispatch
강남역 갔다가 말벌 보여서 무서워요,emergency
아까 모란역에서 말 벌 보여서 무서워요,emergency
광교호수공원에서 러브버그 신고할게요,dispatch
빈대 사진을 봤어요,none
천안아산역 갔다가 빈대 물려서 온몸이 부었어요,emergency
홍대입구역 근처에 러브버그 엄청 많네요,dispatch
천호역에 빈대 물린 데가 심하게 부었어요,emergency
노원역 벚꽃 폈어요,none
재작년에 love bug 본 적 있어,none
여의도공원 주변에 말벌 보여서 무서워요,emergency
수원역 도착했습니다,none
아까 잠실역에서 말벌 보여서 무서워요,emergency
남산공원에 러브 버그 신고할게요,dispatch
올림픽공원 갔다가 말 벌 에 쏘였어요,emergency
아까 여의도공원에서 바퀴벌레 엄청 많네요,dispatch
love bug 어떻게 예방하나요?,guide
석촌호수 갔다가 말벌 쏘여서 부었어요,emergency
방금 광화문에서 러브 버그 방역이 필요해요,dispatch
말 벌 어떻게 예방해요?,guide
말벌 어떻게 대처하나요?,guide
어제 단국대 천안캠퍼스에서 모기 봤어요,dispatch
아까 홍대입구역에서 모기 물려서 퉁퉁 부었어요,emergency
진드기 특징이 뭐예요?,guide
말 벌 정말 사랑스러워,none
love bug 왜 생기나요?,guide
오늘 한강공원 근처에 모기 물린 데가 심하게 부었어요,emergency
전주 한옥마을 근처에 말벌 쏘여서 아파요,emergency
어릴 때 말벌 물린 적 있어,none
러브버그 예방하는 방법 있나요?,guide
서울숲 갔다가 말벌 들어왔어요,emergency
방금 경의선숲길에서 모기 나왔어요,dispatch
이태원역 벚꽃 폈어요,none
광교호수공원 주변에 바퀴벌레 신고할게요,dispatch
부천역 근처에 말 벌집이 있어요,emergency
노원역 단풍 구경했어요,none
동탄 갔다가 빈대 물린 데가 심하게 부었어요,emergency
한강공원 주변에 말 벌 쏘여서 아파요,emergency
한강공원에 말벌집이 생겼어요,emergency
북서울꿈의숲 주변에 love bugs 들끓어요,dispatch
천안아산역에서 진드기 물려서 열이 나요,emergency
바퀴벌레 어떻게 대처하나요?,guide
청주 성안길 사람 많네요,none
빈대 그림을 그렸어요,none
어제 노원역에서 love bugs 방역 필요해요,dispatch
일산 호수공원 근처에 러브 버그 신고합니다,dispatch
백석대 야경 예쁘네요,none
바퀴벌레 보고 싶어,none
성수역 도착했습니다,none
사당역 구경 잘했어요,none
안양역 산책 좋네요,none
불당동 야경 예쁘네요,none
오늘 제주 노형동 근처에 바퀴벌레 너무 많아요,dispatch
사당역에서 진드기 나왔어요,dispatch
대전역에서 빈대 보여요,dispatch
울산 삼산동 근처에 말 벌 때문에 호흡이 가빠요,emergency
천호역 갔다가 말벌 한테 쏘였어요,emergency
여의도공원에 말 벌 출현했습니다,emergency
창원 상남동 근처에 말벌 쏘여서 퉁퉁 부었어요,emergency
지난해엔 러브 버그 심했었지,none
방금 일산 호수공원에서 빈대 물린 데가 심하게 부었어요,emergency
부천역 근처에 모기 방역이 필요해요,dispatch
모기지 대출 금리 뉴스 봤어요,none
정자역 주변에 말 벌 때문에 호흡이 가빠요,emergency
진드기 영화 제목 같네요,none
오늘 정자역 근처에 진드기 방역이 필요해요,dispatch
방금 건대입구역에서 바퀴벌레 출몰했어요,dispatch
두정역에서 친구 만났어요,none
동탄에 말 벌 쏘여서 아파요,emergency
보라매공원 근처에 love bugs 너무 많아요,dispatch
오늘 이태원역 근처에 바퀴벌레 잔뜩 있어요,dispatch
예전에 러브버그 진짜 많았어,none
말벌 너무 좋아,none
어제 광화문에서 바퀴벌레 방역이 필요해요,dispatch
창원 상남동에서 말벌 보여서 무서워요,emergency
경의선숲길 주변에 말벌 때문에 호흡이 가빠요,emergency
광화문에서 모기 뒤덮었어요,dispatch
방금 일산 호수공원에서 말 벌 쏘여서 숨쉬기 힘들어요,emergency
제주 노형동 벚꽃 폈어요,none
어린이대공원 구경 잘했어요,none
일산 호수공원 주변에 말 벌 때문에 호흡이 가빠요,emergency
오늘 포항 영일대 근처에 빈대 출현했습니다,dispatch
아까 강남역에서 love bugs 때문에 불편해요,dispatch
어제 춘천 명동에서 진드기 신고할게요,dispatch
어제 남산공원에서 말 벌 보여서 무서워요,emergency
난 바퀴벌레 사랑해,none
오늘 수원역 근처에 모기 물린 데가 심하게 부었어요,emergency
지난해엔 love bug 심했었지,none
천안아산역 근처에 말 벌 출현했습니다,emergency
러브 버그 너무 좋아요,none
어제 전주 한옥마을에서 말 벌 들어왔어요,emergency
love bug 게임 캐릭터가 귀엽다,none
러브버그 너무 좋아요,none
인천 송도 근처에 모기 물린 데가 심하게 부었어요,emergency
아까 노원역에서 말벌 한테 쏘였어요,emergency
아까 광교호수공원에서 빈대 출현했습니다,dispatch
광교호수공원 날씨 맑아요,none
love bug 언제 많이 나오나요?,guide
오늘 두정역 근처에 말 벌 보여서 무서워요,emergency
아까 부산 해운대에서 말벌 쏘여서 아파요,emergency
말벌 관련 기사 읽었습니다,none
아까 여의도공원에서 love bugs 출몰했어요,dispatch
바퀴벌레 책을 읽고 있어요,none
어제 단국대 천안캠퍼스에서 러브버그 천지예요,dispatch
부천역 다녀왔어요,none
아까 안양역에서 말벌 쏘여서 아파요,emergency
작년엔 love bug 많았는데,none
방금 부산 광안리에서 러브버그 들끓어요,dispatch
빈대 어떻게 없애나요?,guide
올림픽공원에 love bugs 너무 많아요,dispatch
모란역에 바퀴벌레 신고합니다,dispatch
방금 이태원역에서 말 벌 보여서 무서워요,emergency
부천역에 말벌 보여서 무서워요,emergency
어제 광교호수공원에서 말 벌 쏘여서 숨쉬기 힘들어요,emergency
아까 광화문에서 말벌 출현했습니다,emergency
방금 대구 동성로에서 러브 버그 방역이 필요해요,dispatch
바퀴벌레 응원해,none
말 벌 귀여워,none
대구 동성로에서 말벌 쏘여서 퉁퉁 부었어요,emergency
두정역 갔다가 빈대 때문에 불편해요,dispatch
방금 일산 호수공원에서 바퀴벌레 너무 많아요,dispatch
성수역에서 모기 물려서 퉁퉁 부었어요,emergency
말벌 퇴치 방법 알려주세요,guide
러브 버그 게임 캐릭터가 귀엽다,none
love bug 퇴치 방법 알려주세요,guide
월드컵공원에서 바퀴벌레 신고합니다,dispatch
천안아산역에 모기 출몰했어요,dispatch
바퀴벌레 게임 캐릭터가 귀엽다,none
러브 버그 왜 생겨요?,guide
광화문에서 love bugs 떼로 봤어요,dispatch
일산 호수공원 근처에 벌집이 있어요,emergency
오늘 불당동 근처에 말 벌 쏘여서 부었어요,emergency
방금 부산 광안리에서 말벌 쏘여서 아파요,emergency
난 러브버그 사랑해,none
건대입구역 근처에 love bug 떼로 봤어요,dispatch
오늘 말벌 쏘였어요,emergency
러브 버그 응원해,none
어린이대공원 주변에 빈대 출몰했어요,dispatch
성수역에서 모기 떼로 봤어요,dispatch
난 love bug 사랑해,none
홍대입구역 갔다가 말 벌 쏘여서 아파요,emergency
건대입구역 갔다가 말벌 보여서 무서워요,emergency
천안아산역 야경 예쁘네요,none
천안역에서 자전거 탔어요,none
말 벌 너무 좋아요,none
아까 백석대에서 진드기 물려서 심하게 부었어요,emergency
러브 버그 좋아해,none
광주 충장로 주변에 말벌 에 쏘였어요,emergency
빈대 다큐멘터리 봤어요,none
석촌호수 다녀왔어요,none
진드기 키우고 싶어,none
강남역에서 말 벌 쏘여서 숨쉬기 힘들어요,emergency
서울숲 사람 많네요,none
러브 버그 어떻게 물리쳐요?,guide
강남역 갔다가 모기 물려서 퉁퉁 부었어요,emergency
빈대 어디서 서식하나요?,guide
아까 백석대에서 love bugs 출현했습니다,dispatch
말 벌 사진을 봤어요,none
한강공원에서 커피 마셨어요,none
아까 창원 상남동에서 진드기 천지예요,dispatch
아까 불당동에서 모기 출현했습니다,dispatch
말 벌 물리면 어떻게 처치하나요?,guide
올림픽공원에서 점심 먹었어요,none
아까 일산 호수공원에서 말 벌 때문에 호흡이 가빠요,emergency
부천역 갔다가 말 벌 쏘여서 숨쉬기 힘들어요,emergency
빈대 대처법 알려주세요,guide
포항 영일대 카페에서 공부 중이에요,none
안양역 주변에 바퀴벌레 기어다녀요,dispatch
부천역 갔다가 말 벌 보여서 무서워요,emergency
빈대 키우고 싶어,none
한강공원 주변에 러브버그 신고할게요,dispatch
말 벌 어떻게 관리하나요?,guide
월드컵공원 갔다가 말벌 들어왔어요,emergency
포항 영일대 날씨 맑아요,none
러브버그 너무 좋아,none
제주 노형동에 모기 물려서 호흡이 가빠요,emergency
수원역에 말 벌 쏘여서 숨쉬기 힘들어요,emergency
대전역 주변에 러브 버그 신고합니다,dispatch
오늘 춘천 명동 근처에 바퀴벌레 방역 필요해요,dispatch
나는 말 벌를 사랑해,none
러브버그 밈 친구가 보냈어요,none
어제 한강공원에서 빈대 엄청 많네요,dispatch
바퀴벌레 어떻게 물리쳐요?,guide
바퀴벌레 예방법이 궁금합니다,guide
아까 두정역에서 말벌 때문에 위험해요,emergency
아까 단국대 천안캠퍼스에서 바퀴벌레 들끓어요,dispatch
아까 정자역에서 러브 버그 잔뜩 있어요,dispatch
러브 버그에 대해 알려줘,guide
말 벌 관련 기사 읽었습니다,none
방금 수원역에서 love bugs 출몰했어요,dispatch
모기 어떻게 쫓아내나요?,guide
어린이대공원 주변에 love bug 때문에 불편해요,dispatch
천호역 근처에 진드기 물린 자국이 퉁퉁 부었어요,emergency
천안아산역 갔다가 빈대 출몰했어요,dispatch
진드기 그림을 그렸어요,none
love bug 어떻게 물리쳐요?,guide
말벌 예방하는 방법 있나요?,guide
아까 건대입구역에서 love bug 출몰했어요,dispatch
은평구 불광천에 진드기 너무 많아요,dispatch
love bug 예방법이 궁금합니다,guide
대구 동성로에서 자전거 탔어요,none
love bug 진짜 예뻐,none
아까 모란역에서 말 벌 쏘여서 퉁퉁 부었어요,emergency
사당역 사람 많네요,none
방금 잠실역에서 말 벌 쏘여서 부었어요,emergency
진드기 어떻게 대처하나요?,guide
정자역 갔다가 바퀴벌레 뒤덮었어요,dispatch
어린이대공원 갔다가 love bug 출몰했어요,dispatch
보라매공원 근처에 말벌 보여서 무서워요,emergency
모기 어떻게 예방하나요?,guide
포항 영일대 근처에 빈대 물린 데가 심하게 부었어요,emergency
빈대 책을 읽고 있어요,none
방금 노원역에서 말벌 한테 쏘였어요,emergency
인천 송도에서 빈대 물린 데가 심하게 부었어요,emergency
모기 생기는 이유가 뭐예요?,guide
빈대 퇴치 방법 궁금해요,guide
뚝섬한강공원 갔다가 빈대 너무 많아요,dispatch
어린이대공원 날씨 맑아요,none
건대입구역 근처에 말벌 쏘여서 아파요,emergency
북서울꿈의숲 주변에 러브 버그 나왔어요,dispatch
부산 광안리 벚꽃 폈어요,none
어제 울산 삼산동에서 말벌 한테 쏘였어요,emergency
백석대에 러브 버그 출현했습니다,dispatch
광화문에서 바퀴벌레 너무 많아요,dispatch
러브버그 특징이 뭐예요?,guide
대전역 도착했습니다,none
진드기 너무 귀여워요,none
어제 천안역에서 러브버그 떼로 봤어요,dispatch
올림픽공원 근처에 모기 물린 데가 심하게 부었어요,emergency
러브 버그 없애는 법 알려줘,guide
불당동에서 점심 먹었어요,none
양재시민의숲 주변에 진드기 방역이 필요해요,dispatch
옛날에 빈대 때문에 고생했었지,none
천안역에 진드기 천지예요,dispatch
보라매공원 근처에 말 벌집이 있어요,emergency
일산 호수공원 단풍 구경했어요,none
방금 광교호수공원에서 러브 버그 너무 많아요,dispatch
러브버그 사진을 봤어요,none
부산 광안리에 러브버그 엄청 많네요,dispatch
모란역 근처에 진드기 물려서 심하게 부었어요,emergency
