text,action
바퀴벌레 어떻게 쫓아내나요?,guide
방금 제주 노형동에서 말 벌 쏘였어요,emergency
아까 광화문에서 말 벌 때문에 호흡이 가빠요,emergency
전주 한옥마을 구경 잘했어요,none
어제 올림픽공원에서 말벌 쏘여서 퉁퉁 부었어요,emergency
건대입구역에서 점심 먹었어요,none
방금 대구 동성로에서 말벌 쏘여서 부었어요,emergency
일산 호수공원에서 빈대 물린 데가 심하게 부었어요,emergency
아까 은평구 불광천에서 말 벌 에 쏘였어요,emergency
말벌 귀여워,none
바퀴벌레 진짜 예뻐,none
건대입구역 갔다가 모기 잔뜩 있어요,dispatch
어제 남산공원에서 love bugs 들끓어요,dispatch
천호역에서 바퀴벌레 봤어요,dispatch
빈대 방제 방법 궁금해요,guide
청주 성안길 주변에 love bug 떼로 봤어요,dispatch
어린이대공원 갔다가 진드기 물린 자국이 퉁퉁 부었어요,emergency
불당동 갔다가 진드기 물린 자국이 퉁퉁 부었어요,emergency
불당동 갔다가 빈대 물려서 온몸이 부었어요,emergency
대전역 근처에 진드기 잔뜩 있어요,dispatch
의정부역 단풍 구경했어요,none
방금 백석대에서 말벌 때문에 위험해요,emergency
아까 천안역에서 love bugs 잔뜩 있어요,dispatch
월드컵공원 갔다가 모기 물려서 퉁퉁 부었어요,emergency
어제 한강공원에서 말벌 출현했습니다,emergency
노원역 주변에 바퀴벌레 뒤덮었어요,dispatch
러브버그 진짜 예뻐,none
방금 천안아산역에서 모기 물려서 퉁퉁 부었어요,emergency
옛날엔 진드기 자주 봤지,none
말벌 키우고 싶어,none
포항 영일대 단풍 구경했어요,none
방금 천호역에서 love bugs 떼로 봤어요,dispatch
강남역에서 점심 먹었어요,none
아까 보라매공원에서 모기 들끓어요,dispatch
의정부역에서 친구 만났어요,none
진드기 너무 좋아요,none
월드컵공원 구경 잘했어요,none
석촌호수 주변에 러브버그 들끓어요,dispatch
포항 영일대 주변에 진드기 신고합니다,dispatch
예전엔 러브 버그 많이 나왔었어,none
love bug 귀여워,none
제주 노형동 근처에 말벌 쏘였어요,emergency
난 모기 사랑해,none
진드기 어떻게 관리하나요?,guide
이태원역 다녀왔어요,none
어제 남산공원에서 말벌 쏘여서 아파요,emergency
바퀴벌레 어떻게 없애요?,guide
대전역에서 바퀴벌레 들끓어요,dispatch
월드컵공원에서 love bug 방역이 필요해요,dispatch
말 벌 안 생기게 하려면?,guide
뚝섬한강공원에 말 벌 쏘여서 퉁퉁 부었어요,emergency
어제 올림픽공원에서 러브버그 나왔어요,dispatch
아까 올림픽공원에서 말벌 때문에 호흡이 가빠요,emergency
방금 울산 삼산동에서 love bugs 때문에 불편해요,dispatch
바퀴벌레 어디서 사나요?,guide
진드기 뉴스 봤는데 신기하네요,none
일산 호수공원 구경 잘했어요,none
love bug 없애는 법 알려줘,guide
방금 건대입구역에서 love bug 신고할게요,dispatch
어제 천안역에서 러브 버그 출몰했어요,dispatch
오늘 백석대 근처에 러브버그 엄청 많네요,dispatch
방금 불당동에서 모기 물려서 퉁퉁 부었어요,emergency
대구 동성로에 말 벌 쏘였어요,emergency
광주 충장로 갔다가 말 벌 한테 쏘였어요,emergency
부산 해운대 주변에 말 벌 출현했습니다,emergency
아까 북서울꿈의숲에서 말벌 출현했습니다,emergency
말 벌 물리면 어떻게 하나요?,guide
빈대 어떻게 없애요?,guide
말벌 대처법 알려주세요,guide
진드기 생기는 이유가 뭐예요?,guide
오늘 의정부역 근처에 러브 버그 방역 필요해요,dispatch
대구 동성로 근처에 말 벌 쏘여서 아파요,emergency
은평구 불광천에 말벌 쏘여서 부었어요,emergency
아까 부산 광안리에서 바퀴벌레 방역 필요해요,dispatch
러브버그 어떻게 대처하나요?,guide
방금 광주 충장로에서 빈대 때문에 불편해요,dispatch
백석대 갔다가 말 벌 쏘여서 퉁퉁 부었어요,emergency
제주 노형동에 러브버그 뒤덮었어요,dispatch
서울숲 근처에 말벌 때문에 호흡이 가빠요,emergency
진드기 정보 좀 알려주세요,guide
부산 해운대에서 말벌 때문에 호흡이 가빠요,emergency
아까 잠실역에서 love bugs 신고합니다,dispatch
성수역 갔다가 말벌 쏘여서 부었어요,emergency
방금 동탄에서 바퀴벌레 기어다녀요,dispatch
홍대입구역에 벌집을 발견했어요,emergency
말벌 어디서 사나요?,guide
노원역에서 말 벌 쏘여서 아파요,emergency
여의도공원 주변에 러브버그 방역이 필요해요,dispatch
강남역 갔다가 러브버그 방역이 필요해요,dispatch
love bug 관련 기사 읽었습니다,none
광교호수공원 갔다가 love bugs 보여요,dispatch
옛날에 러브버그 때문에 고생했었지,none
불당동에서 러브 버그 신고할게요,dispatch
의정부역에 말벌 쏘였어요,emergency
나는 진드기를 사랑해,none
부산 해운대 근처에 love bugs 천지예요,dispatch
석촌호수에서 러브 버그 출현했습니다,dispatch
옛날에 말 벌 때문에 고생했었지,none
방금 청주 성안길에서 빈대 출현했습니다,dispatch
예전에 바퀴벌레 진짜 많았어,none
예전엔 바퀴벌레 많이 나왔었어,none
예전에 러브 버그 진짜 많았어,none
대구 동성로 주변에 말벌 쏘여서 퉁퉁 부었어요,emergency
진드기 왜 생기나요?,guide
아까 울산 삼산동에서 말벌 때문에 위험해요,emergency
은평구 불광천 단풍 구경했어요,none
경의선숲길 갔다가 빈대 기어다녀요,dispatch
오늘 광주 충장로 근처에 모기 물린 데가 심하게 부었어요,emergency
방금 의정부역에서 말 벌 출현했습니다,emergency
인천 송도 갔다가 말 벌 때문에 위험해요,emergency
모란역에 말벌 때문에 호흡이 가빠요,emergency
빈대떡 먹고 싶다,none
그땐 바퀴벌레 많았는데,none
난 말 벌 사랑해,none
말 벌 키우고 싶어,none
러브 버그 안 생기게 하려면?,guide
빈대 왜 생기나요?,guide
광주 충장로 갔다가 진드기 물려서 심하게 부었어요,emergency
사당역에서 러브 버그 잔뜩 있어요,dispatch
의정부역 카페에서 공부 중이에요,none
인천 송도에서 love bug 천지예요,dispatch
의정부역 근처에 말벌 쏘여서 아파요,emergency
천호역 주변에 말 벌 쏘여서 숨쉬기 힘들어요,emergency
방금 대구 동성로에서 진드기 봤어요,dispatch
방금 수원역에서 진드기 물린 자국이 퉁퉁 부었어요,emergency
바퀴벌레 키우고 싶어,none
그땐 말 벌 많았는데,none
아까 단국대 천안캠퍼스에서 말 벌 쏘여서 부었어요,emergency
러브 버그 귀여워,none
어제 광화문에서 바퀴벌레 봤어요,dispatch
경의선숲길에서 점심 먹었어요,none
모기랑 비슷한 곤충이 뭐예요?,guide
광교호수공원 단풍 구경했어요,none
러브버그 어떻게 물리쳐요?,guide
오늘 백석대 근처에 모기 물린 데가 심하게 부었어요,emergency
아까 청주 성안길에서 바퀴벌레 방역 필요해요,dispatch
양재시민의숲에서 모기 나왔어요,dispatch
러브 버그 퇴치제 추천해주세요,guide
모기 무엇을 먹나요?,guide
모란역 주변에 말벌 들어왔어요,emergency
말벌 어떻게 막나요?,guide
오늘 어린이대공원 근처에 러브 버그 기어다녀요,dispatch
제주 노형동에 말 벌 쏘여서 아파요,emergency
방금 단국대 천안캠퍼스에서 love bugs 나왔어요,dispatch
뚝섬한강공원 주변에 모기 출현했습니다,dispatch
아까 제주 노형동에서 말 벌 들어왔어요,emergency
천안역 근처에 love bugs 엄청 많네요,dispatch
러브버그 어떻게 예방해요?,guide
빈대 보고 싶어,none
사당역 갔다가 말 벌 쏘여서 아파요,emergency
천안역 주변에 러브버그 잔뜩 있어요,dispatch
은평구 불광천에서 커피 마셨어요,none
말 벌 어디서 서식하나요?,guide
천안역 갔다가 러브 버그 출몰했어요,dispatch
부산 광안리에서 love bugs 신고합니다,dispatch
어제 노원역에서 말벌 때문에 호흡이 가빠요,emergency
방금 춘천 명동에서 말 벌 때문에 호흡이 가빠요,emergency
방금 대구 동성로에서 모기 신고할게요,dispatch
어제 보라매공원에서 러브 버그 엄청 많네요,dispatch
전주 한옥마을에서 진드기 때문에 불편해요,dispatch
여의도공원에 말벌 에 쏘였어요,emergency
빈대 진짜 예뻐,none
포항 영일대 주변에 모기 잔뜩 있어요,dispatch
제주 노형동에서 빈대 방역이 필요해요,dispatch
방금 춘천 명동에서 말 벌 보여서 무서워요,emergency
잠실역에서 진드기 방역이 필요해요,dispatch
아까 모란역에서 모기 물려서 호흡이 가빠요,emergency
경의선숲길에서 말 벌 쏘여서 아파요,emergency
예전엔 러브버그 많이 나왔었어,none
모기 어디서 사나요?,guide
신촌역에서 커피 마셨어요,none
방금 대구 동성로에서 모기 물려서 퉁퉁 부었어요,emergency
아까 대구 동성로에서 진드기 물린 자국이 퉁퉁 부었어요,emergency
어제 부산 해운대에서 말벌 보여서 무서워요,emergency
어제 불당동에서 말 벌 한테 쏘였어요,emergency
성수역에서 말 벌 쏘여서 퉁퉁 부었어요,emergency
love bug 생기는 이유가 뭐예요?,guide
예전에 빈대 진짜 많았어,none
love bug 안 생기게 하려면?,guide
건대입구역 근처에 빈대 물린 데가 심하게 부었어요,emergency
옛날에 러브 버그 때문에 고생했었지,none
홍대입구역에서 love bug 엄청 많네요,dispatch
어제 여의도공원에서 말 벌 쏘여서 퉁퉁 부었어요,emergency
학창시절엔 모기 흔했지,none
말벌라는 단어를 배웠어요,none
어린이대공원에서 자전거 탔어요,none
말 벌 방제 방법 궁금해요,guide
아까 어린이대공원에서 말벌 에 쏘였어요,emergency
광화문에서 바퀴벌레 신고할게요,dispatch
빈대 영화 제목 같네요,none
경의선숲길에 말벌 쏘여서 아파요,emergency
말 벌 어떻게 쫓아내나요?,guide
어제 경의선숲길에서 말 벌 쏘여서 부었어요,emergency
양재시민의숲 주변에 빈대 기어다녀요,dispatch
사당역에 love bugs 출현했습니다,dispatch
오늘 울산 삼산동 근처에 진드기 출몰했어요,dispatch
옛날에 모기 때문에 고생했었지,none
경의선숲길 주변에 러브 버그 너무 많아요,dispatch
러브 버그 물리면 어떻게 처치하나요?,guide
오늘 신촌역 근처에 러브버그 신고할게요,dispatch
아까 인천 송도에서 빈대 물린 데가 심하게 부었어요,emergency
성수역 갔다가 말 벌 보여서 무서워요,emergency
전주 한옥마을에 바퀴벌레 너무 많아요,dispatch
전주 한옥마을 근처에 말벌 보여서 무서워요,emergency
이태원역 단풍 구경했어요,none
북서울꿈의숲에 빈대 출몰했어요,dispatch
단국대 천안캠퍼스 갔다가 love bugs 방역 필요해요,dispatch
말벌 어떻게 없애나요?,guide
아까 서울숲에서 말벌 에 쏘였어요,emergency
창원 상남동에서 커피 마셨어요,none
모기 팬이에요,none
사당역 갔다가 말 벌 한테 쏘였어요,emergency
love bug 그림을 그렸어요,none
어제 부산 광안리에서 진드기 기어다녀요,dispatch
어제 수원역에서 모기 물린 데가 심하게 부었어요,emergency
천호역 도착했습니다,none
말벌랑 비슷한 곤충이 뭐예요?,guide
천안역 갔다가 말 벌 에 쏘였어요,emergency
방금 두정역에서 love bugs 너무 많아요,dispatch
방금 청주 성안길에서 말벌 쏘여서 아파요,emergency
러브 버그 어떻게 예방하나요?,guide
월드컵공원에서 쇼핑했어요,none
빈대 물리면 어떻게 처치하나요?,guide
수원역 야경 예쁘네요,none
수원역 벌집 때문에 위험해요,emergency
모란역 갔다가 말 벌 쏘여서 퉁퉁 부었어요,emergency
love bug 좋아해,none
광주 충장로 벚꽃 폈어요,none
진드기 소문만 들었습니다,none
진드기 어떻게 생겼나요?,guide
양재시민의숲에 love bugs 신고할게요,dispatch
전주 한옥마을에 love bug 신고합니다,dispatch
바퀴벌레 왜 생기나요?,guide
모란역 주변에 말벌 쏘여서 아파요,emergency
일산 호수공원에서 친구 만났어요,none
빈대랑 비슷한 곤충이 뭐예요?,guide
모기 특징이 뭐예요?,guide
예전엔 love bug 많이 나왔었어,none
아까 의정부역에서 말벌 한테 쏘였어요,emergency
어제 두정역에서 love bug 뒤덮었어요,dispatch
어제 광주 충장로에서 빈대 잔뜩 있어요,dispatch
어린이대공원 갔다가 love bugs 엄청 많네요,dispatch
말벌 좋아해,none
러브버그 관련 기사 읽었습니다,none
성수역에 말벌 들어왔어요,emergency
여의도공원 갔다가 love bugs 기어다녀요,dispatch
어릴 때 모기 물린 적 있어,none
양재시민의숲에 진드기 뒤덮었어요,dispatch
재작년에 말벌 본 적 있어,none
동탄 주변에 말벌 쏘여서 퉁퉁 부었어요,emergency
천안아산역 다녀왔어요,none
그땐 말벌 많았는데,none
방금 안양역에서 말 벌 들어왔어요,emergency
love bug 어떻게 막나요?,guide
방금 정자역에서 말벌 쏘여서 숨쉬기 힘들어요,emergency
방금 포항 영일대에서 love bugs 들끓어요,dispatch
뚝섬한강공원에 말 벌집을 발견했어요,emergency
바퀴벌레 어떻게 없애나요?,guide
방금 러브버그 들끓어요,dispatch
모기 관련 기사 읽었습니다,none
대구 동성로 구경 잘했어요,none
자동차 앞바퀴에 벌레가 꼈어요,none
모기 밈 친구가 보냈어요,none
러브버그 없애는 법 알려줘,guide
어제 부산 해운대에서 바퀴벌레 들끓어요,dispatch
아까 은평구 불광천에서 말벌 에 쏘였어요,emergency
대구 동성로 산책 좋네요,none
청주 성안길에서 빈대 잔뜩 있어요,dispatch
말 벌 어디서 사나요?,guide
한강공원 갔다가 러브 버그 뒤덮었어요,dispatch
love bug 키우고 싶어,none
오늘 노원역 근처에 모기 물려서 호흡이 가빠요,emergency
방금 경의선숲길에서 바퀴벌레 방역 필요해요,dispatch
말 벌 어떻게 물리쳐요?,guide
광주 충장로 단풍 구경했어요,none
아까 월드컵공원에서 말벌 쏘여서 숨쉬기 힘들어요,emergency
모기 어떻게 물리쳐요?,guide
진드기 안 생기게 하려면?,guide
러브 버그 예방법이 궁금합니다,guide
신촌역 다녀왔어요,none
아까 춘천 명동에서 말 벌 쏘여서 퉁퉁 부었어요,emergency
방금 경의선숲길에서 바퀴벌레 나왔어요,dispatch
대구 동성로 다녀왔어요,none
어제 은평구 불광천에서 말벌 들어왔어요,emergency
어제 제주 노형동에서 모기 보여요,dispatch
포항 영일대 맛집 다녀왔어요,none
일산 호수공원 카페에서 공부 중이에요,none
말벌 다큐멘터리 봤어요,none
빈대 모양 키링을 샀어요,none
어제 북서울꿈의숲에서 진드기 물려서 열이 나요,emergency
어제 잠실역에서 진드기 뒤덮었어요,dispatch
청주 성안길 근처에 모기 기어다녀요,dispatch
보라매공원에 말벌 들어왔어요,emergency
사당역에서 바퀴벌레 보여요,dispatch
부천역 벚꽃 폈어요,none
한강공원 도착했습니다,none
방금 대전역에서 빈대 엄청 많네요,dispatch
나는 러브 버그를 사랑해,none
두정역 주변에 말 벌 들어왔어요,emergency
광교호수공원 근처에 말 벌집이 있어요,emergency
안양역 근처에 진드기 들끓어요,dispatch
오늘 단국대 천안캠퍼스 근처에 love bug 들끓어요,dispatch
그땐 모기 많았는데,none
말 벌 밈 친구가 보냈어요,none
방금 건대입구역에서 말 벌 쏘였어요,emergency
아까 두정역에서 말벌 에 쏘였어요,emergency
옛날엔 바퀴벌레 자주 봤지,none
어제 광교호수공원에서 진드기 때문에 불편해요,dispatch
빈대떡 부쳐 먹었어요,none
모란역에서 점심 먹었어요,none
빈대 어떻게 생겼나요?,guide
예전에 모기 진짜 많았어,none
어제 은평구 불광천에서 러브버그 너무 많아요,dispatch
방금 북서울꿈의숲에서 모기 출현했습니다,dispatch
아까 한강공원에서 러브버그 너무 많아요,dispatch
건대입구역 사람 많네요,none
러브버그 검색해보니 사진이 징그러워요,none
대구 동성로 갔다가 모기 출몰했어요,dispatch
두정역 근처에 진드기 물려서 열이 나요,emergency
방금 인천 송도에서 말 벌 보여서 무서워요,emergency
어제 천안역에서 love bugs 출몰했어요,dispatch
정자역에서 말 벌 때문에 호흡이 가빠요,emergency
love bug 어떻게 쫓아내나요?,guide
아까 대전역에서 love bug 방역이 필요해요,dispatch
사당역에 말벌 쏘여서 숨쉬기 힘들어요,emergency
천호역 갔다가 모기 보여요,dispatch
love bug 방제 방법 궁금해요,guide
정자역 주변에 러브 버그 떼로 봤어요,dispatch
진드기 게임 캐릭터가 귀엽다,none
모기라는 단어를 배웠어요,none
학창시절엔 말 벌 흔했지,none
어린이대공원 단풍 구경했어요,none
방금 부천역에서 빈대 때문에 불편해요,dispatch
노원역 산책 좋네요,none
러브버그 정보 좀 알려주세요,guide
단국대 천안캠퍼스 날씨 맑아요,none
부산 해운대에 말 벌 보여서 무서워요,emergency
이태원역 갔다가 love bug 잔뜩 있어요,dispatch
아까 정자역에서 진드기 물려서 심하게 부었어요,emergency
남산공원 갔다가 말벌 쏘여서 퉁퉁 부었어요,emergency
말 벌 어떻게 막나요?,guide
빈대떡이 맛있어요,none
제주 노형동에서 러브 버그 출몰했어요,dispatch
말 벌 진짜 예뻐,none
광교호수공원에서 말벌 집을 발견했어요,emergency
모기 좋아해,none
신촌역 맛집 다녀왔어요,none
경의선숲길에서 러브버그 뒤덮었어요,dispatch
광교호수공원 근처에 모기 기어다녀요,dispatch
석촌호수 단풍 구경했어요,none
오늘 인천 송도 근처에 모기 출몰했어요,dispatch
진드기 밈 친구가 보냈어요,none
방금 올림픽공원에서 러브버그 보여요,dispatch
경의선숲길에 모기 물려서 퉁퉁 부었어요,emergency
아까 제주 노형동에서 러브 버그 신고할게요,dispatch
진드기 무엇을 먹나요?,guide
광화문 주변에 빈대 때문에 불편해요,dispatch
모기 어디서 서식하나요?,guide
건대입구역에서 말 벌 쏘여서 퉁퉁 부었어요,emergency
love bug 왜 생겨요?,guide
신촌역 벚꽃 폈어요,none
옛날엔 말 벌 자주 봤지,none
어제 백석대에서 빈대 뒤덮었어요,dispatch
여의도공원에서 말벌 출현했습니다,emergency
한강공원에 빈대 보여요,dispatch
어제 보라매공원에서 말벌 쏘여서 숨쉬기 힘들어요,emergency
어제 건대입구역에서 모기 때문에 불편해요,dispatch
어제 불당동에서 말벌 쏘여서 아파요,emergency
러브 버그 소문만 들었습니다,none
일산 호수공원 근처에 말벌 들어왔어요,emergency
러브버그 어떻게 없애요?,guide
대전역 구경 잘했어요,none
아까 백석대에서 러브버그 방역 필요해요,dispatch
포항 영일대 근처에 벌집이 있어요,emergency
수원역에 진드기 떼로 봤어요,dispatch
부천역 갔다가 말 벌 때문에 호흡이 가빠요,emergency
광교호수공원에 love bug 출몰했어요,dispatch
울산 삼산동에 모기 물려서 퉁퉁 부었어요,emergency
어릴 때 진드기 물린 적 있어,none
강남역 근처에 벌집이 있어요,emergency
바퀴벌레 어떻게 예방해요?,guide
두정역 다녀왔어요,none
자전거 바퀴에 벌레가 묻었어요,none
어제 어린이대공원에서 러브버그 방역 필요해요,dispatch
전주 한옥마을 근처에 말 벌 에 쏘였어요,emergency
서울숲 주변에 말벌 에 쏘였어요,emergency
천안아산역 주변에 빈대 신고할게요,dispatch
월드컵공원 벚꽃 폈어요,none
광주 충장로 주변에 말 벌 때문에 위험해요,emergency
한강공원 주변에 진드기 나왔어요,dispatch
어제 광화문에서 말 벌 에 쏘였어요,emergency
어제 제주 노형동에서 모기 출현했습니다,dispatch
오늘 두정역 근처에 말 벌 에 쏘였어요,emergency
방금 창원 상남동에서 말 벌 출현했습니다,emergency
아까 춘천 명동에서 진드기 출현했습니다,dispatch
진드기 예방하는 방법 있나요?,guide
방금 천안아산역에서 love bug 신고합니다,dispatch
오늘 은평구 불광천 근처에 진드기 신고합니다,dispatch
어제 어린이대공원에서 진드기 기어다녀요,dispatch
제주 노형동에 진드기 엄청 많네요,dispatch
인천 송도 근처에 진드기 너무 많아요,dispatch
말 벌 좋아해,none
러브 버그 관련 기사 읽었습니다,none
방금 강남역에서 진드기 물려서 열이 나요,emergency
방금 뚝섬한강공원에서 진드기 신고할게요,dispatch
불당동에서 말벌 쏘여서 퉁퉁 부었어요,emergency
건대입구역 다녀왔어요,none
옛날에 love bug 때문에 고생했었지,none
방금 광교호수공원에서 love bug 신고할게요,dispatch
아까 의정부역에서 진드기 물려서 열이 나요,emergency
신촌역 산책 좋네요,none
재작년에 러브버그 본 적 있어,none
어제 어린이대공원에서 love bugs 신고할게요,dispatch
울산 삼산동 갔다가 모기 출현했습니다,dispatch
백석대에서 빈대 물린 데가 심하게 부었어요,emergency
올림픽공원 산책 좋네요,none
어제 대전역에서 빈대 물린 데가 심하게 부었어요,emergency
광주 충장로에 빈대 보여요,dispatch
말 벌 팬이에요,none
창원 상남동에서 친구 만났어요,none
북서울꿈의숲 주변에 진드기 신고할게요,dispatch
어제 동탄에서 모기 보여요,dispatch
예전엔 말벌 많이 나왔었어,none
바퀴벌레 팬이에요,none
오늘 제주 노형동 근처에 모기 방역 필요해요,dispatch
광화문에 모기 물려서 퉁퉁 부었어요,emergency
서울숲에 벌집을 발견했어요,emergency
의정부역에 모기 물린 데가 심하게 부었어요,emergency
진드기 다큐멘터리 봤어요,none
여의도공원 주변에 말 벌 쏘여서 아파요,emergency
석촌호수 주변에 진드기 방역 필요해요,dispatch
대구 동성로 벚꽃 폈어요,none
방금 잠실역에서 love bug 떼로 봤어요,dispatch
바퀴벌레 뉴스 봤는데 신기하네요,none
부천역에서 진드기 물려서 열이 나요,emergency
천안아산역에서 말 벌 출현했습니다,emergency
진드기 대처법 알려주세요,guide
남산공원에 러브버그 보여요,dispatch
동탄 근처에 바퀴벌레 들끓어요,dispatch
말벌 특징이 뭐예요?,guide
청주 성안길 다녀왔어요,none
바퀴벌레 밈 친구가 보냈어요,none
안양역 근처에 love bugs 천지예요,dispatch
창원 상남동 주변에 러브버그 들끓어요,dispatch
강남역 산책 좋네요,none
오늘 창원 상남동 근처에 말 벌 때문에 위험해요,emergency
석촌호수 날씨 맑아요,none
모기 보고 싶어,none
강남역에서 친구 만났어요,none
모기 너무 좋아요,none
러브버그 책을 읽고 있어요,none
창원 상남동 주변에 진드기 너무 많아요,dispatch
바퀴벌레 안 생기게 하려면?,guide
어제 일산 호수공원에서 love bug 신고할게요,dispatch
어제 대전역에서 러브버그 보여요,dispatch
재작년에 진드기 본 적 있어,none
love bug 보고 싶어,none
모기 퇴치 방법 알려주세요,guide
인천 송도 주변에 진드기 들끓어요,dispatch
두정역에서 말벌 쏘여서 퉁퉁 부었어요,emergency
안양역 맛집 다녀왔어요,none
어제 청주 성안길에서 러브 버그 떼로 봤어요,dispatch
수원역 날씨 맑아요,none
어제 양재시민의숲에서 빈대 물린 데가 심하게 부었어요,emergency
불당동에서 모기 물려서 퉁퉁 부었어요,emergency
방금 모란역에서 love bugs 뒤덮었어요,dispatch
광화문 날씨 맑아요,none
천안역에 빈대 물려서 온몸이 부었어요,emergency
천안아산역에서 커피 마셨어요,none
러브 버그 대처법 알려주세요,guide
바퀴벌레라는 단어를 배웠어요,none
강남역 근처에 love bug 출몰했어요,dispatch
은평구 불광천에서 love bugs 출현했습니다,dispatch
어제 건대입구역에서 진드기 들끓어요,dispatch
부천역 갔다가 말벌 쏘여서 퉁퉁 부었어요,emergency
방금 광주 충장로에서 말벌 쏘였어요,emergency
석촌호수 갔다가 말 벌 쏘여서 숨쉬기 힘들어요,emergency
나는 모기를 사랑해,none
어릴 때 러브버그 물린 적 있어,none
어제 신촌역에서 빈대 때문에 불편해요,dispatch
월드컵공원에서 친구 만났어요,none
방금 경의선숲길에서 모기 물려서 호흡이 가빠요,emergency
오늘 사당역 근처에 love bug 뒤덮었어요,dispatch
어제 울산 삼산동에서 말 벌 에 쏘였어요,emergency
러브 버그 너무 좋아,none
말벌 퇴치 방법 궁금해요,guide
러브버그 어디서 사나요?,guide
부산 광안리 날씨 맑아요,none
울산 삼산동 근처에 빈대 출몰했어요,dispatch
예전엔 모기 많이 나왔었어,none
노원역 야경 예쁘네요,none
어제 부산 광안리에서 러브 버그 방역이 필요해요,dispatch
진드기라는 단어를 배웠어요,none
부천역 근처에 말 벌 쏘여서 부었어요,emergency
강남역 맛집 다녀왔어요,none
천호역에서 자전거 탔어요,none
방금 올림픽공원에서 말 벌 쏘여서 아파요,emergency
말벌 게임 캐릭터가 귀엽다,none
광교호수공원에 말 벌 들어왔어요,emergency
오늘 천호역 근처에 러브버그 신고할게요,dispatch
울산 삼산동 근처에 빈대 물려서 온몸이 부었어요,emergency
예전에 말 벌 진짜 많았어,none
말 벌 없애는 법 알려줘,guide
백석대에 말 벌 보여서 무서워요,emergency
은평구 불광천에 말벌집을 발견했어요,emergency
진드기 퇴치제 추천해주세요,guide
광교호수공원 근처에 말 벌 들어왔어요,emergency
정자역 근처에 love bugs 나왔어요,dispatch
모기 어떻게 막나요?,guide
남산공원에 말벌집이 생겼어요,emergency
백석대 근처에 love bugs 신고할게요,dispatch
인천 송도 갔다가 love bugs 신고합니다,dispatch
말 벌 검색해보니 사진이 징그러워요,none
성수역 근처에 빈대 물린 데가 심하게 부었어요,emergency
love bug 퇴치 방법 궁금해요,guide
오늘 동탄 근처에 love bugs 천지예요,dispatch
홍대입구역에서 빈대 신고합니다,dispatch
두정역 갔다가 빈대 들끓어요,dispatch
경의선숲길 주변에 러브 버그 잔뜩 있어요,dispatch
사랑 노래를 들었어요,none
어제 건대입구역에서 모기 물려서 퉁퉁 부었어요,emergency
광교호수공원 구경 잘했어요,none
